"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,235,"TUR","Turkey",1,"Çanakkale","TR.CK",NA,"","Il","Province","",""
2,235,"TUR","Turkey",2,"Çankiri","TR.CI",NA,"","Il","Province","","Çankiri|Changra"
3,235,"TUR","Turkey",3,"Çorum","TR.CM",NA,"","Il","Province","",""
4,235,"TUR","Turkey",4,"Adana","TR.AA",NA,"","Il","Province","","Seyhan"
5,235,"TUR","Turkey",5,"Adiyaman","TR.AD",NA,"","Il","Province","","Adiyaman"
6,235,"TUR","Turkey",6,"Afyon","TR.AF",NA,"","Il","Province","","Afyonkarahisar"
7,235,"TUR","Turkey",7,"Agri","TR.AG",NA,"","Il","Province","","Agri|Karaköse"
8,235,"TUR","Turkey",8,"Aksaray","TR.AK",NA,"","Il","Province","",""
9,235,"TUR","Turkey",9,"Amasya","TR.AM",NA,"","Il","Province","",""
10,235,"TUR","Turkey",10,"Ankara","TR.AN",NA,"","Il","Province","","Ancara|Angora"
11,235,"TUR","Turkey",11,"Antalya","TR.AL",NA,"","Il","Province","","Adalia|Anatolia"
12,235,"TUR","Turkey",12,"Ardahan","TR.AR",NA,"","Il","Province","",""
13,235,"TUR","Turkey",13,"Artvin","TR.AV",NA,"","Il","Province","","Çoruh"
14,235,"TUR","Turkey",14,"Aydin","TR.AY",NA,"","Il","Province","","Aydin"
15,235,"TUR","Turkey",15,"Balikesir","TR.BK",NA,"","Il","Province","","Balikesir|Balikisri"
16,235,"TUR","Turkey",16,"Bartin","TR.BR",NA,"","Il","Province","",""
17,235,"TUR","Turkey",17,"Batman","TR.BM",NA,"","Il","Province","",""
18,235,"TUR","Turkey",18,"Bayburt","TR.BB",NA,"","Il","Province","",""
19,235,"TUR","Turkey",19,"Bilecik","TR.BC",NA,"","Il","Province","",""
20,235,"TUR","Turkey",20,"Bingöl","TR.BG",NA,"","Il","Province","","Çapakçur"
21,235,"TUR","Turkey",21,"Bitlis","TR.BT",NA,"","Il","Province","",""
22,235,"TUR","Turkey",22,"Bolu","TR.BL",NA,"","Il","Province","",""
23,235,"TUR","Turkey",23,"Burdur","TR.BD",NA,"","Il","Province","",""
24,235,"TUR","Turkey",24,"Bursa","TR.BU",NA,"","Il","Province","","Burssa|Brusa|Brussa|Brousse"
25,235,"TUR","Turkey",25,"Düzce","TR.DU",NA,"","Il","Province","",""
26,235,"TUR","Turkey",26,"Denizli","TR.DN",NA,"","Il","Province","",""
